open,high,low,close,volume,date
17040.4609375,17041.16015625,16776.130859375,16804.7109375,,10/01/2014
16808.26953125,16857.25,16674.0390625,16801.05078125,,10/02/2014
16802.19921875,17027.83984375,16802.19921875,17009.689453125,,10/03/2014
17010.33984375,17099.390625,16930.380859375,16991.91015625,,10/06/2014
16988.25,16988.25,16715.7890625,16719.390625,,10/07/2014
16718.650390625,17006.91015625,16663.259765625,16994.220703125,,10/08/2014
16989.369140625,16989.369140625,16649.0390625,16659.25,,10/09/2014
16654.880859375,16757.599609375,16543.91015625,16544.099609375,,10/10/2014
16535.4296875,16602.41015625,16310.4697265625,16321.0703125,,10/13/2014
16321.900390625,16463.669921875,16273.6396484375,16315.1904296875,,10/14/2014
16313.2998046875,16313.2998046875,15855.1201171875,16141.740234375,,10/15/2014
16137.1396484375,16211.1201171875,15935.2197265625,16117.240234375,,10/16/2014
16118.3896484375,16427.380859375,16118.3896484375,16380.41015625,,10/17/2014
16373.150390625,16401.630859375,16260.5400390625,16399.669921875,,10/20/2014
16406.029296875,16620.779296875,16405.76953125,16614.810546875,,10/21/2014
16615.259765625,16653.890625,16459.849609375,16461.3203125,,10/22/2014
16468.0703125,16767.51953125,16468.0703125,16677.900390625,,10/23/2014
16677.0390625,16811.7109375,16649.720703125,16805.41015625,,10/24/2014
16796.099609375,16836.98046875,16729.830078125,16817.939453125,,10/27/2014
16825.189453125,17006.44921875,16825.189453125,17005.75,,10/28/2014
17005.0703125,17065.5,16895.380859375,16974.310546875,,10/29/2014
16968.140625,17223.9609375,16920.759765625,17195.419921875,,10/30/2014
17208.779296875,17395.5390625,17208.779296875,17390.51953125,,10/31/2014
17390.900390625,17410.650390625,17339.849609375,17366.240234375,,11/03/2014
17368.810546875,17397.23046875,17278.359375,17383.83984375,,11/04/2014
17385.759765625,17486.58984375,17385.759765625,17484.529296875,,11/05/2014
17491.66015625,17560.310546875,17440.349609375,17554.470703125,,11/06/2014
17558.580078125,17575.330078125,17493.369140625,17573.9296875,,11/07/2014
17568.98046875,17621.869140625,17547.509765625,17613.740234375,,11/10/2014
17615.640625,17638.2109375,17584.939453125,17614.900390625,,11/11/2014
17604.75,17626.7109375,17536.169921875,17612.19921875,,11/12/2014
17618.689453125,17705.48046875,17583.880859375,17652.7890625,,11/13/2014
17653.109375,17664.150390625,17613.19921875,17634.740234375,,11/14/2014
17631.849609375,17675.0703125,17606.810546875,17647.75,,11/17/2014
17643.08984375,17735.7109375,17642.029296875,17687.8203125,,11/18/2014
17685.509765625,17712.259765625,17624.5,17685.73046875,,11/19/2014
17677.3203125,17720.439453125,17603.890625,17719.0,,11/20/2014
17721.01953125,17894.830078125,17721.01953125,17810.060546875,,11/21/2014
17812.630859375,17855.26953125,17793.189453125,17817.900390625,,11/24/2014
17819.05078125,17854.73046875,17790.890625,17814.939453125,,11/25/2014
17812.25,17833.759765625,17791.16015625,17827.75,,11/26/2014
17830.55078125,17893.419921875,17807.779296875,17828.240234375,,11/28/2014
17827.26953125,17827.26953125,17726.55078125,17776.80078125,,12/01/2014
17778.849609375,17897.05078125,17778.849609375,17879.55078125,,12/02/2014
17880.900390625,17924.150390625,17855.58984375,17912.619140625,,12/03/2014
17910.01953125,17937.9609375,17814.810546875,17900.099609375,,12/04/2014
17903.05078125,17991.189453125,17903.05078125,17958.7890625,,12/05/2014
17954.939453125,17960.560546875,17804.279296875,17852.48046875,,12/08/2014
17847.369140625,17847.369140625,17629.5703125,17801.19921875,,12/09/2014
17797.990234375,17797.990234375,17508.099609375,17533.150390625,,12/10/2014
17534.30078125,17758.509765625,17534.30078125,17596.33984375,,12/11/2014
17590.05078125,17590.05078125,17280.830078125,17280.830078125,,12/12/2014
17285.740234375,17403.5390625,17115.279296875,17180.83984375,,12/15/2014
17173.0703125,17427.439453125,17067.58984375,17068.869140625,,12/16/2014
17069.16015625,17389.30078125,17069.16015625,17356.869140625,,12/17/2014
17367.849609375,17778.400390625,17367.849609375,17778.150390625,,12/18/2014
17778.01953125,17874.029296875,17746.55078125,17804.80078125,,12/19/2014
17812.25,17962.779296875,17812.25,17959.439453125,,12/22/2014
17971.509765625,18069.220703125,17970.16015625,18024.169921875,,12/23/2014
18035.73046875,18086.240234375,18027.779296875,18030.2109375,,12/24/2014
18038.30078125,18103.44921875,18038.30078125,18053.7109375,,12/26/2014
18046.580078125,18073.0390625,18021.5703125,18038.23046875,,12/29/2014
18035.01953125,18035.01953125,17959.69921875,17983.0703125,,12/30/2014
17987.66015625,18043.220703125,17820.880859375,17823.0703125,,12/31/2014
17823.0703125,17951.779296875,17731.30078125,17832.990234375,,01/02/2015
17821.30078125,17821.30078125,17475.9296875,17501.650390625,,01/05/2015
17504.1796875,17581.05078125,17262.369140625,17371.640625,,01/06/2015
17374.779296875,17597.080078125,17374.779296875,17584.51953125,,01/07/2015
17591.970703125,17916.0390625,17591.970703125,17907.869140625,,01/08/2015
17911.01953125,17915.3203125,17686.08984375,17737.369140625,,01/09/2015
17742.05078125,17793.880859375,17571.580078125,17640.83984375,,01/12/2015
17645.01953125,17923.009765625,17498.23046875,17613.6796875,,01/13/2015
17609.060546875,17609.060546875,17264.900390625,17427.08984375,,01/14/2015
17436.30078125,17517.41015625,17298.0390625,17320.7109375,,01/15/2015
17320.0,17528.369140625,17243.55078125,17511.5703125,,01/16/2015
17516.9609375,17588.69921875,17346.73046875,17515.23046875,,01/20/2015
17509.9609375,17599.580078125,17396.0390625,17554.279296875,,01/21/2015
17557.2890625,17840.890625,17482.5390625,17813.98046875,,01/22/2015
17812.5,17812.5,17667.529296875,17672.599609375,,01/23/2015
17668.109375,17696.359375,17567.599609375,17678.69921875,,01/26/2015
17638.529296875,17638.529296875,17288.310546875,17387.2109375,,01/27/2015
17402.91015625,17484.41015625,17189.0,17191.369140625,,01/28/2015
17195.2890625,17433.130859375,17136.30078125,17416.849609375,,01/29/2015
17416.849609375,17419.900390625,17156.8203125,17164.94921875,,01/30/2015
17169.990234375,17367.6796875,17037.759765625,17361.0390625,,02/02/2015
